"key","year","type","emailed","downloaded","reply_received","data_sent","data_available","n_results","data_complete","analysis_clear","reproduced","code_available"
531,2001,"human experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
532,2012,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
533,2014,"human experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
534,2017,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
535,2018,"nonhuman experimental  ",TRUE,TRUE,TRUE,FALSE,TRUE,4,4,4,4,0
536,2007,"human experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
537,2006,"nonhuman experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
538,2008,"nonhuman experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
539,1988,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
540,1980,"nonhuman experimental  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
541,2017,"human experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
542,1999,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
543,1999,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
544,1996,"human experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
545,2005,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
546,2007,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
547,2010,"human experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
548,2010,"nonhuman experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
549,2015,"human experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
550,2013,"human experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
551,2002,"nonhuman experimental  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
552,2012,"human experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
553,2005,"nonhuman experimental  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
554,2016,"nonhuman observational  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
555,2010,"human experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
556,2013,"human experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
557,2016,"human experimental  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
558,2000,"nonhuman experimental  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
559,1996,"nonhuman experimental  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
560,2015,"human experimental  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
